:nemesis	:info	:start-partition	:majority
1	:invoke	:add	4
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1"}, "n2" #{"n0"}, "n1" #{"n0"}}]
1	:ok	:add	4
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:ok	:read	0
2	:invoke	:add	1
2	:ok	:add	1
2	:invoke	:add	3
2	:ok	:add	3
0	:ok	:read	0
0	:invoke	:read	nil
1	:ok	:read	5
1	:invoke	:read	nil
0	:ok	:read	4
2	:invoke	:read	nil
1	:ok	:read	5
0	:invoke	:read	nil
2	:ok	:read	8
1	:invoke	:add	2
1	:ok	:add	2
0	:ok	:read	4
0	:invoke	:read	nil
1	:invoke	:add	3
1	:ok	:add	3
0	:ok	:read	8
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	10
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	8
0	:invoke	:add	3
0	:ok	:add	3
1	:ok	:read	16
2	:ok	:read	13
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:ok	:read	16
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	4
1	:ok	:read	16
0	:ok	:add	4
2	:ok	:read	16
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
1	:ok	:read	16
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
1	:invoke	:add	0
1	:ok	:add	0
1	:invoke	:read	nil
0	:ok	:read	27
2	:invoke	:read	nil
1	:ok	:read	28
0	:invoke	:add	0
1	:invoke	:read	nil
0	:ok	:add	0
2	:ok	:read	28
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	28
1	:invoke	:read	nil
2	:ok	:read	28
2	:invoke	:read	nil
0	:ok	:read	27
1	:ok	:read	28
1	:invoke	:read	nil
2	:ok	:read	28
2	:invoke	:add	1
